MES;DIA;ACCIDENTE
ENERO;1;196
ENERO;2;278
ENERO;3;337
ENERO;4;385
ENERO;5;380
ENERO;6;312
ENERO;7;340
ENERO;8;343
ENERO;9;404
ENERO;10;406
ENERO;11;354
ENERO;12;468
ENERO;13;491
ENERO;14;447
ENERO;15;531
ENERO;16;525
ENERO;17;477
ENERO;18;503
ENERO;19;522
ENERO;20;480
ENERO;21;502
ENERO;22;529
ENERO;23;539
ENERO;24;497
ENERO;25;583
ENERO;26;545
ENERO;27;578
ENERO;28;566
ENERO;29;599
ENERO;30;611
ENERO;31;543
FEBRERO;1;594
FEBRERO;2;538
FEBRERO;3;655
FEBRERO;4;560
FEBRERO;5;527
FEBRERO;6;627
FEBRERO;7;587
FEBRERO;8;616
FEBRERO;9;604
FEBRERO;10;589
FEBRERO;11;664
FEBRERO;12;610
FEBRERO;13;667
FEBRERO;14;613
FEBRERO;15;574
FEBRERO;16;612
FEBRERO;17;599
FEBRERO;18;603
FEBRERO;19;602
FEBRERO;20;673
FEBRERO;21;590
FEBRERO;22;595
FEBRERO;23;669
FEBRERO;24;590
FEBRERO;25;599
FEBRERO;26;654
FEBRERO;27;718
FEBRERO;28;609
FEBRERO;29;209
MARZO;1;645
MARZO;2;677
MARZO;3;673
MARZO;4;688
MARZO;5;645
MARZO;6;657
MARZO;7;622
MARZO;8;613
MARZO;9;672
MARZO;10;571
MARZO;11;632
MARZO;12;656
MARZO;13;696
MARZO;14;583
MARZO;15;614
MARZO;16;644
MARZO;17;604
MARZO;18;583
MARZO;19;587
MARZO;20;559
MARZO;21;545
MARZO;22;517
MARZO;23;520
MARZO;24;486
MARZO;25;442
MARZO;26;503
MARZO;27;507
MARZO;28;506
MARZO;29;492
MARZO;30;491
MARZO;31;490
ABRIL;1;504
ABRIL;2;464
ABRIL;3;471
ABRIL;4;490
ABRIL;5;541
ABRIL;6;519
ABRIL;7;541
ABRIL;8;538
ABRIL;9;577
ABRIL;10;474
ABRIL;11;480
ABRIL;12;450
ABRIL;13;556
ABRIL;14;487
ABRIL;15;512
ABRIL;16;492
ABRIL;17;499
ABRIL;18;484
ABRIL;19;473
ABRIL;20;529
ABRIL;21;516
ABRIL;22;515
ABRIL;23;470
ABRIL;24;566
ABRIL;25;570
ABRIL;26;562
ABRIL;27;603
ABRIL;28;529
ABRIL;29;551
ABRIL;30;552
MAYO;1;340
MAYO;2;586
MAYO;3;567
MAYO;4;562
MAYO;5;505
MAYO;6;563
MAYO;7;575
MAYO;8;597
MAYO;9;572
MAYO;10;551
MAYO;11;664
MAYO;12;540
MAYO;13;568
MAYO;14;526
MAYO;15;608
MAYO;16;599
MAYO;17;555
MAYO;18;550
MAYO;19;557
MAYO;20;590
MAYO;21;544
MAYO;22;575
MAYO;23;528
MAYO;24;568
MAYO;25;618
MAYO;26;561
MAYO;27;571
MAYO;28;582
MAYO;29;532
MAYO;30;527
MAYO;31;593
JUNIO;1;648
JUNIO;2;606
JUNIO;3;532
JUNIO;4;545
JUNIO;5;621
JUNIO;6;544
JUNIO;7;562
JUNIO;8;635
JUNIO;9;534
JUNIO;10;552
JUNIO;11;563
JUNIO;12;556
JUNIO;13;580
JUNIO;14;518
JUNIO;15;553
JUNIO;16;584
JUNIO;17;565
JUNIO;18;531
JUNIO;19;529
JUNIO;20;558
JUNIO;21;537
JUNIO;22;563
JUNIO;23;529
JUNIO;24;513
JUNIO;25;582
JUNIO;26;566
JUNIO;27;547
JUNIO;28;518
JUNIO;29;498
JUNIO;30;524
JULIO;1;493
JULIO;2;472
JULIO;3;529
JULIO;4;537
JULIO;5;544
JULIO;6;634
JULIO;7;587
JULIO;8;522
JULIO;9;592
JULIO;10;529
JULIO;11;556
JULIO;12;512
JULIO;13;573
JULIO;14;530
JULIO;15;560
JULIO;16;574
JULIO;17;660
JULIO;18;612
JULIO;19;597
JULIO;20;372
JULIO;21;587
JULIO;22;594
JULIO;23;518
JULIO;24;524
JULIO;25;590
JULIO;26;531
JULIO;27;605
JULIO;28;570
JULIO;29;579
JULIO;30;574
JULIO;31;620
AGOSTO;1;540
AGOSTO;2;563
AGOSTO;3;583
AGOSTO;4;589
AGOSTO;5;535
AGOSTO;6;585
AGOSTO;7;386
AGOSTO;8;581
AGOSTO;9;532
AGOSTO;10;619
AGOSTO;11;564
AGOSTO;12;565
AGOSTO;13;611
AGOSTO;14;572
AGOSTO;15;600
AGOSTO;16;536
AGOSTO;17;584
AGOSTO;18;573
AGOSTO;19;551
AGOSTO;20;549
AGOSTO;21;560
AGOSTO;22;592
AGOSTO;23;566
AGOSTO;24;625
AGOSTO;25;553
AGOSTO;26;564
AGOSTO;27;598
AGOSTO;28;620
AGOSTO;29;682
AGOSTO;30;593
AGOSTO;31;661
SEPTIEMBRE;1;589
SEPTIEMBRE;2;635
SEPTIEMBRE;3;670
SEPTIEMBRE;4;668
SEPTIEMBRE;5;582
SEPTIEMBRE;6;595
SEPTIEMBRE;7;578
SEPTIEMBRE;8;652
SEPTIEMBRE;9;522
SEPTIEMBRE;10;529
SEPTIEMBRE;11;486
SEPTIEMBRE;12;562
SEPTIEMBRE;13;477
SEPTIEMBRE;14;570
SEPTIEMBRE;15;533
SEPTIEMBRE;16;515
SEPTIEMBRE;17;543
SEPTIEMBRE;18;528
SEPTIEMBRE;19;559
SEPTIEMBRE;20;499
SEPTIEMBRE;21;570
SEPTIEMBRE;22;484
SEPTIEMBRE;23;470
SEPTIEMBRE;24;482
SEPTIEMBRE;25;523
SEPTIEMBRE;26;540
SEPTIEMBRE;27;497
SEPTIEMBRE;28;583
SEPTIEMBRE;29;490
SEPTIEMBRE;30;525
OCTUBRE;1;577
OCTUBRE;2;566
OCTUBRE;3;578
OCTUBRE;4;478
OCTUBRE;5;542
OCTUBRE;6;502
OCTUBRE;7;463
OCTUBRE;8;508
OCTUBRE;9;515
OCTUBRE;10;527
OCTUBRE;11;493
OCTUBRE;12;464
OCTUBRE;13;519
OCTUBRE;14;425
OCTUBRE;15;447
OCTUBRE;16;445
OCTUBRE;17;465
OCTUBRE;18;527
OCTUBRE;19;533
OCTUBRE;20;578
OCTUBRE;21;535
OCTUBRE;22;504
OCTUBRE;23;524
OCTUBRE;24;570
OCTUBRE;25;532
OCTUBRE;26;574
OCTUBRE;27;592
OCTUBRE;28;552
OCTUBRE;29;573
OCTUBRE;30;558
OCTUBRE;31;627
NOVIEMBRE;1;507
NOVIEMBRE;2;481
NOVIEMBRE;3;579
NOVIEMBRE;4;513
NOVIEMBRE;5;453
NOVIEMBRE;6;511
NOVIEMBRE;7;574
NOVIEMBRE;8;567
NOVIEMBRE;9;544
NOVIEMBRE;10;550
NOVIEMBRE;11;505
NOVIEMBRE;12;456
NOVIEMBRE;13;505
NOVIEMBRE;14;552
NOVIEMBRE;15;529
NOVIEMBRE;16;491
NOVIEMBRE;17;548
NOVIEMBRE;18;540
NOVIEMBRE;19;583
NOVIEMBRE;20;569
NOVIEMBRE;21;547
NOVIEMBRE;22;488
NOVIEMBRE;23;503
NOVIEMBRE;24;526
NOVIEMBRE;25;591
NOVIEMBRE;26;521
NOVIEMBRE;27;555
NOVIEMBRE;28;599
NOVIEMBRE;29;592
NOVIEMBRE;30;605
DICIEMBRE;1;559
DICIEMBRE;2;477
DICIEMBRE;3;575
DICIEMBRE;4;524
DICIEMBRE;5;595
DICIEMBRE;6;603
DICIEMBRE;7;676
DICIEMBRE;8;380
DICIEMBRE;9;549
DICIEMBRE;10;549
DICIEMBRE;11;585
DICIEMBRE;12;583
DICIEMBRE;13;517
DICIEMBRE;14;563
DICIEMBRE;15;535
DICIEMBRE;16;551
DICIEMBRE;17;543
DICIEMBRE;18;585
DICIEMBRE;19;603
DICIEMBRE;20;546
DICIEMBRE;21;610
DICIEMBRE;22;536
DICIEMBRE;23;532
DICIEMBRE;24;487
DICIEMBRE;25;241
DICIEMBRE;26;460
DICIEMBRE;27;434
DICIEMBRE;28;436
DICIEMBRE;29;392
DICIEMBRE;30;359
DICIEMBRE;31;299
